seg_id	source_masked	target_masked	translated_masked
f361e0f2-b812-4a58-81d8-6e4d913bb1b9	Большинство его носителей мусульмане.		
dd2c6ba1-3405-4141-9d0b-e61c2a370898	Существует группа татов-христиан, некоторые особенности их языка упоминаются в тех описаниях, на которых основана эта статья, но подробно он не описан, поэтому здесь не рассматривается.		
3950ae51-9da1-45ec-90fc-7d6901decc3d	Я буду сопоставлять только язык татов-мусульман и джуури горских евреев.		
6ac9cff0-3474-48c2-8b97-9119846752ae	В советское время языки горских евреев, татов-мусульман и татов-христиан с точки зрения государства объединялись в один язык – татский, а сами они легким логическим скачком превращались в один народ – таты.		
0e1084fb-4268-4a9e-a7ef-3dbab86a1ddd	Против «татизации» среди горских евреев раздавалось немало возмущенных голосов.		
12b6a6d8-c80f-40f1-9b28-b23a6b8b1f9a	На основе полевых исследований 2024 – 2025 гг. у меня сложилось впечатление, что сейчас «татизация» уже не является для сообщества настолько болезненной темой, насколько она была в позднесоветский и постсоветский период.		
ea32e7e1-9a52-4fff-851d-23349df1f14c	Можно сказать, что сбылось предсказание Михаила Членова, сделанное в 2000 г.:		
21360b74-a62a-47af-8390-fe3bc64de67b	«“Татская” теория продолжает как-то существовать только в Дагестане, где таты официально признаны одним из народов республики...		
ad7f99a8-ff5c-4bd2-a302-780e179285c6	Однако политическая напряженность и экономический кризис в этой части России приводит к оттоку оттуда горских евреев.		
6f630a0f-f5d2-4045-a07b-3958abbf9ba3	Вместе с ними слабеет и татская теория, конец которой, видимо, уже близок» (Членов 2000:		
297f1fc6-713e-4761-b3cd-5964308c7cc5	194, курсив мой – К.В.).		
3d8ec89f-af62-44c0-9827-372d3671d02b	Никакой национальной общности поверх конфессиональных границ, которая грезилась советским чиновникам, не сложилось: горские евреи и сегодня отличают себя от татов-мусульман, что совершенно не препятствует деловым, экономическим и дружеским контактам на индивидуальном уровне.		
1074fd6b-020d-4c9c-bb6d-81462478c8aa	Сходство и различие языков было одним из аргументов в дискуссии о татизации, поэтому странно, что лингвистическое сравнение татского и джуури до сих пор не было сделано.		
91d3dbb3-0728-46a2-a25e-59a684cc17d8	Мне известны два очень лаконичных перечня различий между татским языком и джуури (Shalem n.d., Authier 2012:		
82035404-f599-4ed3-be2b-0f5aa91d5fc5	28) – насколько я знаю, других компаративных описаний пока не существует.		
20e0058a-f6d7-446f-afdf-4f4a5923992c	Задача этой статьи – сделать первоначальный обзор структурных различий между татским языком и джуури.		
4c45f678-5e48-437b-9a8c-666acfad01f8	Лингвистическая часть предваряется историческим обзором, в котором описаны разные представления о статусе и названии джуури и история его изучения – создания тех  описаний, которые послужили материалом для этой статьи.		
c4915f5b-ba25-4840-bfbd-8d3e6fc1836f	В некоторых случаях я привлекаю дополнительный материал из книг на джуури, выложенных на портале фонда СТМЭГИ.		
1386a4dc-6641-42ab-a74d-68003c68aade	Надо оговорить, что не существует никаких чисто лингвистических способов отличить два разных языка от двух диалектов одного и того же языка: такие вопросы решаются не на основании лингвистических данных, а с учетом социальных, политических, нередко и экономических факторов.		
64065f39-6692-404c-a5e1-7ef8c8e31edd	Как будет показано в следующем разделе, по поводу названия джуури и его статуса существуют очень разные мнения, поэтому мне надо обосновать выбор термина «язык джуури», а не, например, «северный диалект татского языка».		
b5e94b66-1c02-4c3f-aa77-08371a79ec25	Это легко: я использую тот термин, который предпочитают и пропагандируют языковые активисты из числа представителей сообщества, потому что хочу поддержать их.		
488c6841-4de4-403b-acf1-d1b4835306df	История изучения и именования джуури		
b271bd1e-2aa3-4671-bfa8-086688963a80	Первое упоминание о джуури в печати принадлежит Иуде Черному и сделано в 1869 г. (Черный 2017).		
308b778e-d948-467e-a8cc-ff39a72f9e29	Вслед за носителями Черный называет называет джуури «фарсид(ск)о-татским» (24, 28) языком, приводит список слов и текст (24 – 26).		
9559613b-7d37-4497-959c-9c87d2583986	В. И.		
7e79c8d9-1e8f-4c3c-937a-a979257d52a2	Немирович-Данченко, путешествовавший по Дагестану в 1876 г., сообщает, что жители называют свой язык «фарситским татским» (Немирович-Данченко 2017:		
16f6ccd7-7077-4401-9bf3-453df0667253	77).		
411cfb13-327a-430b-9471-0da223f58bdd	В этом эндолингвониме подчеркивается иранское происхождение языка.		
ca645fdb-5ae4-4a16-9826-04dd9fa8be83	Этнограф Илья Анисимов, сам носитель джуури, обычно называет его татским, но также татско-еврейским (186) или горским (228) и не противопоставляет языку татов-мусульман, считая, что горские евреи и таты-мусульмане говорят на одном языке (Анисимов 2017:		
001412fa-68e5-4e7a-80a8-737fd640c609	173).		
d3ce1a95-1e5f-415e-a6c9-f51590fe4410	Языком татов-евреев (Zand 2016:		
e5574289-a0ab-4258-bedf-66e3b3686165	30) называет джуури и другой носитель – раввин Яаков Ицхаки, который в 1880-х гг. создал первый словарь этого языка, но не успел издать его (только в 2016 г. этот словарь вышел в свет усилиями Михаэля Занда и под его редакцией).		
f11f5f98-9c2e-4907-948a-c857c2247215	Таким образом, и в XIX в., задолго до начала советского культурного строительства, горские евреи называли свой язык татским, причем если возникала необходимость уточнить этот лингвоним, то в своей среде использовалось указание на происхождение языка: персидский, а не еврейский, так как еврейский язык один – это древнееврейский, язык священных текстов.		
d9a9b1a6-d148-4868-b7ac-c54673ce6154	В коммуникации же с внешними адресатами – в книге Анисимова, адресованной русскому читателю, в рукописи Яакова Ицхоки, которая планировалась к изданию в Палестине, – возникало указание на конфессиональную принадлежность группы: авторы считали важным сообщить внешней аудитории, не владеющей кавказскими реалиями, что носители этого татского языка – именно евреи.		
33354df8-f8df-412b-93ec-1f1632c5fe82	Важно подчеркнуть, что каким бы лингвонимом ни обозначали свой разговорный язык горские евреи в этот период, выбор лингвонима не имел никакой связи с этнической идентификацией.		
ab0a536b-0aa2-4202-bde4-767ef2198767	Маркером идентичности в любом случае служил древнееврейский язык.		
50a482a9-c383-4376-8efe-949c1128c941	В этом отношении горские евреи не отличались от других еврейских общин.		
c232f882-ec4d-4c93-948a-f46eb9e41909	Разговорный язык не имел функции маркера идентичности, поэтому общий с татами-мусульманами лингвоним вовсе не подразумевал этнической идентификации горских евреев с этой группой.		
b1e3dea4-48da-4a4b-b7e4-de4fb336e14f	Первое лингвистическое описание джуури сделал В. Ф.		
983927f0-deaf-40fb-9220-b063b3a061c2	Миллер.		
edd05a74-e9d9-490a-b239-06713222abcc	Его информантом был уже упоминавшийся Илья Анисимов, уроженец селения Тарки в Северном Дагестане, носитель северного диалекта джуури.		
27822ef1-ef67-4938-9be7-370ee9e27c22	Миллер опубликовал сборник сказок, рассказанных Анисимовым (Миллер 1892), очерки фонетики и морфологии джуури (Миллер 1900, 1901), а также целый ряд других работ, посвященных отдельным аспектам описания джуури и публикации фольклорных текстов.		
fda74f87-2a20-444d-86bf-188b1a535e33	После установления советской власти на Кавказе лингвистическое изучение джуури впервые приобретает практическое значение.		
1a29f788-df57-432c-b5e8-0967e459309e	Советское государство стимулирует создание модернизированной светской письменной национальной культуры на языках «отсталых» народов, населяющих подвластную ему территорию.		
75baa5a7-c277-4497-863f-ab0aa6a268e1	Среди горских евреев нашлось немало энергичных и талантливых людей, которые с энтузиазмом принялись за строительство такой культуры уже в начале 1920-х гг., до принятия каких-либо мер по стандартизации джуури.		
1deff552-6508-4f76-accc-c5d92d086cca	Очевидно, однако, что для школьного преподавания, официальных документов, СМИ, художественной литературы и прочих сфер функционирования языка, новых для джуури на тот момент, требуется наддиалектный стандарт, наделенный более высоким статусом, чем разговорный вариант, обслуживающий бытовую коммуникацию.		
f3d62b9c-f4ce-4780-8477-711fd9694fc2	Во второй половине 1920-х гг. проводились съезды, совещания и конференции, посвященные стандартизации языка и выбору алфавита, подробно описанные в статье (Агарунов 2018) .		
2957686d-ec47-4a75-bcca-c59face6ab61	Одним из участников этих мероприятий был иранист Б. В. Миллер, предпринявший в 1928 г. по поручению Общества обследования и изучения Азербайджана[[1:X:x]] экспедицию по местам проживания азербайджанских татов (Миллер 1929).		
382248be-1102-441b-82d7-e8d91d3a2801	По результатам этой экспедиции он написал статью о кубинском говоре джуури, в которой сопоставлял кубинский диалект с северным по описаниям своего отца В. Ф.		
1f7e8890-2fa0-46e8-961b-2154852495ca	Миллера (Миллер 1932).		
e36e2ace-317c-45c0-b96d-7dd1f48a8c93	[[1:X:x]] Созданная по общественной инициативе государственная организация, на базе которой впоследствии было создано Азербайджанское отделение Закавказского филиала АН СССР.		
27cb6fe1-7dba-4cb0-b14e-7e05a2fe27b0	В том же году вышла книга другого информанта Миллера-старшего – Нафтали Цви Анисимова, племянника Ильи Анисимова, также носителя северного диалекта, востоковеда, который учился в Лазаревском институте восточных языков и на восточном отделении Гейдельбергского университета.		
8dbce089-7f82-4ae5-b187-aa638705599e	Н.		
2bb32e65-825e-4ba4-bb97-fb9fc13d081f	Анисимов написал на родном языке «Грамматику татского языка (Anisimov 1932) – фундаментальный труд, посвященный описанию фонетики, морфологии и синтаксиса джуури и предваряемый изложением основ современной (на тот момент) теоретической лингвистики.		
f2362c14-a738-43b5-be09-97f86ef14d09	Грамматика Анисимова была не только дескриптивной, но и до некоторой степени нормативной: она предписывала и создавала норму там, где имелось варьирование.		
68fb242a-da2b-46b4-ae7d-776d6cb3dfbc	Многие варианты Анисимов сопровождает пометой ‘неправильно’ (duz nisti стр. 121, 123, 142 и др.).		
83e22821-2bee-4775-8fcb-c8529bd31cad	Разделу «Синтаксис» были предпосланы правила пунктуации.		
00fe974c-44d8-4211-aea1-820c96d7f14d	С начала 1920-х до начала 1940-х гг. выходит целый ряд учебников джуури (Нисанов 1927, Бен-Герарий, Хаймович 1927, Худайнатов 1928, Lazarev 1934, Xanuxov 1937 и др., часть из них в еврейской, часть в латинской графике).		
875b68b4-a585-4f52-bc0f-4ff1e9bc1392	Все эти пособия созданы носителями языка.		
757006a8-6437-4802-a68c-a9e26f6e1780	В конце 1930-х гг. школьное преподавание на джуури было отменено, и интерес к описанию языка вновь оказывается ограничен академическими кругами.		
24b87749-c5d6-47c3-b87b-401ce43fabd6	Некоторое освещение получила фонетика джуури, описанная Р.		
3a5b6f15-e576-4a79-8383-2ce362407887	О.		
1bb91785-63af-4ec0-8dbb-43cc3ecda30f	Шор (Шор 1949) и ученицей Б. В. Миллера В. С. Соколовой (Соколова 1953).		
c8005827-e8f0-436d-8790-c5a3faf72aae	Статья Шор посвящена собственно джуури, в ней анализируются и дополняются данные о консонантизме джуури, имеющиеся в работах В.Ф. и Б. В. Миллеров, тогда как работа Соколовой посвящена в первую очередь мусульманским татским говорам с привлечением некоторых примеров из джуури.		
0b55f505-dc93-492f-a02b-c6bcfe30f307	Подробное описание всех уровней татского языка сделал А. Л. Грюнберг (Грюнберг 1963), оно несколько раз переиздавалось с уточнениями (Грюнберг, Давыдова 1982, Грюнберг 1997).		
4e548d38-119d-445c-a487-0018748e166f	Материалом для всех этих описаний послужили собственные полевые данные авторов.		
18b6220a-a58b-4b84-8a72-2b8ef935554c	В русскоязычных работах досоветского и советского времени использовался лингвоним «еврейско-татский» или его разновидности, в работах на джуури zuhun tati ‘татский язык’.		
2339f547-a8e7-4116-be68-24f3db7cf0bf	Большинство авторов не задаются специально вопросом о статусе джуури, называя его то языком, то наречием или говорами.		
f56e2557-b02a-454d-8259-667cc955ba66	В. С. Соколова использует бытовое слово «разновидности»:		
45572b61-67e4-42cd-95ed-e814821d79e5	«татский язык известен в двух разновидностях: собственно татский (так называемый «мусульманско-татский») и еврейско-татский» (Соколова 1950:		
03978c74-7b0c-48f9-801b-ec87b5921743	20).		
1d18338a-b90e-456e-918c-57d6479b8f16	Самую четкую позицию по поводу статуса идиомов занимает Грюнберг: ираноязычная народность таты по вероисповеданию делилась «ранее на две большие группы: таты-иудеи и таты-мусульмане.		
6fd3cc03-ea8f-4617-a1ab-ba3ca2f12257	Это разделение сохраняется в настоящее время как языковое: каждая группа говорит на своем диалекте» (Грюнберг 1963:		
6c515d64-683e-47aa-a1df-85d38d54fe7e	3).		
229d6e59-24f2-42d4-bfb6-d30cac4e0151	Стремясь подчеркнуть преодоление пережитков прошлого, неактуальность конфессиональных границ в советской действительности, Грюнберг, в отличие от всех других авторов, выбирает для этих диалектов  максимально нейтральные термины: он называет джуури «северным диалектом татского языка», противопоставляя его «южному диалекту», т.е. языку татов-мусульман.		
4339f37b-5017-4e1c-807d-ff434c66f873	С 1990-х гг. инициатива вновь переходит к сообществу.		
6cc90ae7-9b20-43b7-a2cb-79f62b2be3b0	Начинается настоящий бум лексикографической деятельности.		
c5494c18-21dc-43a7-af54-ae9998f7666f	В начале 1990-х гг. выходят два маленьких иллюстрированных словаря для младших школьников  (Ифраимов 1991, Изгияева 1995) и орфографический словарь (Гаврилов, Изгияева 1995), а в течение последующих лет один за другим появляются двуязычные (джуури-русские и русско-джуури) словари:		
957b2e60-85bd-4ca6-bd40-3876fb8cdb5e	Агаруновы 1997 (второе издание 2010), Изгияева 2005, Дадашев 2006, Нафталиев 2016, Амир 2020, Семендуевы 2021, Гавриловы 2025.		
0e4d9841-ab63-4722-a9f4-e9a55b2c1689	Все словари созданы носителями языка, не имеющими никакой лингвистической подготовки, которых только любовь к родному языку и восхищение перед его лексическими сокровищами заставили взвалить на себя этот колоссальный многолетний труд, и за каждым словарем стоит целая личная история[[1:X:x]].		
16312657-9310-4a8f-bdd1-21e56b528083	Эти словари, хотя и подготовленные лексикографами-непрофессионалами, являются ценнейшей базой для дальнейших исследований.		
0052fca5-86ea-4536-99fa-57edafb24ad6	Кроме словарей, публикуются учебники джуури Гаврилов, Авшалумов 1990 (переработка  учебника 1938 г.), Изгияева 2001, Исаков 2020, Исаков 2023.		
babb353b-2a8c-4297-a94b-ab10f15b5339	Они адресованы младшим школьникам и с методической точки зрения представляют собой учебники родного языка, с которых ребенок начинает знакомство с письменной речью.		
4333c912-665b-48fa-a0de-e17e28569eda	Исключением является учебник Богданов 2019, адресованный взрослым, не владеющим джуури, и отличающийся внятностью грамматических описаний, так что его, с некоторыми оговорками, можно использовать как академическое описание джуури.		
beb3236f-99ef-416c-a2ec-8eabd9b0059d	Остальные учебники могут служить лишь материалом для исследования, поскольку детей дошкольного и младшего школьного возраста, владеющих джуури как родным языком и начинающих читать на этом, а не на русском, английском, иврите или каком-либо другом языке, насколько я знаю, сегодня не существует.		
d0e47905-9278-4b07-9a98-32b41985f72e	[[1:X:x]] Необходимо упомянуть, что бОльшая часть словарей были опубликованы благодаря финансовой поддержке фонда СТМЭГИ и усилиям издательского центра фонда «Sholumi».		
a8fbfe19-fc3f-4136-899d-be2828c70805	Без этой поддержки подвиг стихийных лексикографов остался бы неизвестен широкой публике.		
8bef15bd-fe98-471d-8d83-ea4d28111294	Научным изучением джуури в постсоветский период занималась Е.		
f4cb1131-5489-4a35-bb42-fe597383cb2e	М.		
c5054aa7-3025-41d4-92d0-a443f2a82fdb	Назарова, уроженка Махачкалы, стажировавшаяся под руководством Грюнберга.		
9528aa83-2ae5-445c-9037-4b8c4a88b847	В центре ее исследовательского внимания была именная система и атрибутивные конструкции джуури (Назарова 1988, 1992, 2002).		
02d9184a-591a-4599-b31b-5d58e09f7780	Работ по другим аспектам языка не появилось.		
023debda-bd99-45c9-bd7b-ae7abb13f3ec	В 2012 г. французский кавказовед Жиль Отье опубликовал очень содержательное, типологически ориентированное описание джуури на материале произведений советской горско-еврейской художественной литературы (Authier 2012).		
0a4e74aa-1ea7-4c9c-bc19-51d5c227b1ec	Лингвоним в постсоветское время претерпевает дальнейшие метаморфозы.		
52595fd4-f699-42bd-8a3e-06059c83af06	В начале 1990-х гг. в названиях словарей и учебников используется татский язык/зугьун тати без уточнений.		
e09fcb75-4937-431e-87f2-c38720422747	К 2000-м гг. в русскоязычных названиях распространяется вариант с уточнением:		
8a64eb2b-fa8d-4273-9bbc-6e569e90666a	татский (еврейский/горско-еврейский) язык, а из названий на джуури упоминание о татском к этому моменту уже исчезает, и его заменяет жугьури.		
9993d75d-e721-4c8e-9a50-4ac92873b835	В течение 2010-х гг. татский исчезает и из русскоязычных названий.		
426fcd9e-0693-4ad0-a026-b06e2e9ea2a9	В московских изданиях его полностью вытесняет джуури, в израильских используются два лингвонима: джуури и горско-еврейский.		
92d24577-b79a-4311-aee9-b67b29e181d2	Для распространения в русском языке лингвонима джуури много сделала Е.		
6cc50172-f063-461a-8a16-96088e223c29	М.		
a1c974bd-e661-46b2-a06c-dc5194f3bf29	Назарова, которая посвятила вопросу об исконных и навязанных лингвонимах и этнонимах целый ряд работ (Назарова 2020, 2021, Назарова, Якубова 2023).		
ae0aa9ec-9ffd-438d-955d-02b44ffafec4	Ее точку зрения поддержал московский фонд СТМЭГИ, во всех изданиях которого сейчас используется только джуури.		
d6ca62ae-9463-46b5-a0a5-e1a87d56a96b	В Азербайджане изучением татского языка занимались исследователи Т. М.		
6b01bb72-3afb-46db-9d63-b456e762bdf5	Ахмедов, М.		
1570be25-dca9-4bcb-8c38-b1ef6e28d67b	И.		
1ad458d5-86aa-4a71-83f8-d1ec421875c8	Гаджиев, Г.		
b5b12ed0-273d-4a14-9196-56d69594df96	И.		
e2afb42f-83fe-4852-b474-7305dfda1b59	Гусейнова.		
7b96b14c-e98c-43ad-8ee3-f8f8ef53003f	Азербайджанские исследователи не называют язык горских евреев ни джуури, ни каким-либо другим лингвонимом и вообще никак не выделяют его из татского языка, отмечая, что горские евреи говорят по-татски и что, перейдя на татский язык, они сумели сохранить в нем значительное количество лексических единиц древнееврейского происхождения (Hacıyev 2009:		
b14ea3a0-ea7a-4ad9-8ba0-4adb84c55fdc	90, Hüseynova 2013:		
1fb9ce70-dc87-4096-87f8-0d04a3864ec6	Например, все говоры Кубинского района, в котором проживает большое количество горских евреев, включаются в число северных говоров языка азербайджанских татов (Hacıyev 2009:		
d28dc4e1-09a8-4863-8266-d90b4230970f	18).		
a4a5c7a9-bd1d-4327-915a-7277953c55ca	М.		
4f4680cd-846a-475a-bf99-91d9709ed924	Сулейманов (Национальный институт восточных языков и культур, Париж) постулирует существование еврейско-татского диалекта татского языка.		
26383c3e-3340-42da-90af-668710697e1a	В этом диалекте он выделяет шесть поддиалектов, остающихся, несмотря на географичесую удаленность друг от друга, «в основном однородными и взаимно понятными» (Suleymanov 2020:		
0d5deafa-4c92-4f17-8b2e-c43f4a6b01a5	27).		
7987cbfa-9e8d-4dda-8b5a-03a840080d1b	Только Н.		
af020102-90d1-4bfa-bbce-3b698bad5d7c	Маммадова в диссертации, защищенной в этом же институте, характеризует еврейско-татский как отдельный «язык, очень близкий языку бакинских татов» (Mammadova 2017:		
64cbebfd-7b35-46ae-ba1e-3d67cc1b79ba	6).		
3193dd16-ae81-49ab-81b3-74f9a6e38f3a	Практически в каждой работе используется своя система записи джуури и татского языка – фонетическая транскрипция, фонологическая транскрипция, разные варианты алфавитной записи.		
a5d6128b-9938-4b91-884f-0d822ed6c468	Хотя мне кажется желательным сохранять написание источников, в разделах по фонетике и морфологии пришлось от этого отказаться и унифицировать написание, иначе понять примеры просто невозможно.		
6ce49a01-d43a-4b79-b9f4-aa2f21cc04e2	В разделе, посвященном лексике, написание источников сохраняется: кириллическая фонетическая транскрипция Миллера, запись на основе азербайджанского алфавита Гаджиева и Гусейновой, алфавитная запись Нафталиева и Агарунова.		
7e609675-a57d-4eaf-98ea-124d989d8f45	Вокализм		
612d77a9-444c-4d28-b29d-c7e3a20f465c	Система гласных фонем джуури такова:		
da012d62-f261-4747-b9f7-db518390f8b5	передний ряд		
52381ff2-51a0-41ce-9837-5785880caca1	средний ряд		
a1f741ed-a55b-4fe8-b2c4-3574f3bfcc1b	задний ряд		
3b4a833d-daca-4c85-bcc1-fe59f445f882	неогубл		
8d5cd8da-8031-471e-aa4e-2e95baddb701	огубл		
77a8af22-3518-4004-afa3-16d4dc834d18	неогубл		
1ff122b3-7caf-4e83-9006-c7ab7e744a3b	огубл		
8ffe964b-cefa-44c6-bfec-bf08b5386ed9	неогубл		
e98f1e6f-a35e-4a74-8f81-8dcd282beb0d	огубл		
d78f7a8d-c5e2-4602-a770-457f212a73ee	верхний подъем		
48128112-8123-4970-aa5a-6cc92d9beb13	средний подъем		
2f23e452-bc84-4f5b-b0dc-a4bf62cc6e10	нижний подъем		
651db5f6-9569-4ebb-bdb7-47f48f99bc8d	[[1:X:x]] Знак ə взят из алфавита.		
76d1d322-84ce-484d-8a2f-fa039b28d821	В МФА этот звук (ненапряженный неогубленный гласный переднего ряда нижнего подъема) обозначается неудобным символом æ, который при выделении курсивом почти сливается с œ, поэтому я не хочу его использовать.		
1c31751c-f312-42aa-bb8d-00536b07eb14	Миллер и Грюнберг обозначают этот звук символом ä.		
c8416322-e710-4468-8700-03c2c158ac36	Грюнберг и Давыдова (1982:		
b6b96e66-3a51-46b0-a160-dc2edc87b67d	238) вместо ə (звука переднего ряда нижнего подъема) в этой системе помещают е (переднего ряда среднего подъема).		
93d9de9d-c889-4233-8b4a-be77b8a3abf1	По их мнению, е в джуури соответствует ə в татском: дж. ser ‘голова’ – sär, merd ‘человек, мужчина’ – märd, ez ‘из’ – äz, также дж. bebe ‘отец’ и др.		
e3211056-8010-4bfe-8c8b-0ccf75207195	Однако составители словарей – носители языка (Нафталиев 2016:		
6e7eed06-249c-49f2-94aa-e50b4136b69b	15, Агарунов 2010:		
a221cdca-63de-49ae-87f8-4c909fc28005	14, ср. также Миллер 1932:		
69a77e5e-c9f9-42d9-9e7e-4e71d078cd3f	282) относят этот гласный к нижнему подъему и вводят дополнительную графему для более закрытого звука в заимствованиях из русского языка (ə используется там, где в татском у Грюнберга ä:		
1259d32b-7147-4e7f-b945-4c2059795506	sər, mərd, əz, bəbə; е используется в словах типа defekt ‘дефект’, ekran ‘экран’).		
d1a40f9d-78ab-4ef8-b991-c825cee83f31	Позиционные варианты реализации всех фонем детально описывает Вс.		
252e5aec-11d8-41af-b169-a08c33592a5d	Миллер (Миллер 1900:		
fc9a2371-9f5d-4a23-bedb-b89764443f89	1-8).		
18f5be22-a46e-49e6-84fc-c8af5e5023ee	На выбор аллофона большое влияние оказывают соседствующие согласные и гласные других слогов слова, а ударность/безударность слога не имеет большого значения.		
4a6d4c9f-6a6c-43a4-be8e-2fdd471b0bcc	Система гласных фонем, по-видимому, не различается по диалектам, но аллофоны и правила их распределения могут различаться.		
1dedaa57-770d-45a2-9fb1-04be08988126	В татском языке, судя по описаниям, в разных диалектах существуют различные системы фонем.		
365da2e1-cd85-4bfe-ba53-a7c5fbf702ec	Согласно В. С. Соколовой, в системе фонем изученных ею диалектов имеется три нисходящих дифтонга ei̯, оu̯, өу.		
e1750ca9-1981-4cb4-b208-6bfa29338409	Идет процесс развития из этих дифтонгов гласных среднего подъема е, о, ө, которые на момент сбора материала (1947 – 1948 гг.) не имели статуса фонем.		
239338cf-f6b7-435b-a26a-5628973c0766	Грюнберг также не включает эти гласные в число фонем татского языка.		
a1fc2b11-f3c3-43d7-902d-80c2df10061a	По мнению этих авторов, вокализм татского языка включает 8 фонем:		
51677f55-7948-44fc-9742-e0bbdd2abd8f	i, y, u, ä, a, ei̯, оu̯, өу (в отличие от джуури, нет фонемы о и есть три дифтонга).		
e4657299-2d16-417b-87ed-1f0667bfb383	Гаджиев полагает, что формирование фонем среднего подъема в татском завершилось (Hacıyev 2009:		
75f95d5c-b98a-41ac-87e2-cc6a20a35aa8	28-38).		
813e3356-8562-4036-affb-1fda833e854d	Дифференциальные признаки гласных, по мнению этих авторов, те же, что в джуури: ряд, подъем и огубленность.		
1efb51aa-0c4a-4b28-9a79-a76161db6e17	В ширванском диалекте татского языка Сулейманов описывает систему гласных, в которой насчитывается 13 фонем, нет дифтонгов, а к дифференциальным признакам гласных среднего и нижнего подъема добавляется долгота/краткость (Suleymanov 2020:		
7cdefa5d-112c-4df7-a426-9d622abbc29e	65).		
0eae45f8-9f54-4aa2-85c0-fa6e8d9e79d2	Под влиянием азербайджанского языка в татском и джуури развивается уподобление гласных, однако, в отличие от азербайджанского, ни в том, ни в другом языке оно не достигает статуса обязательно применяемого правила.		
d93516d5-5859-4264-896c-1bacc7a489f0	Контактное воздействие сингармонизма приводит не только к тому, что в корневых морфемах оказываются не те гласные, которых следовало бы ожидать этимологически (много таких примеров приводит Вс.		
51fe43a2-4707-465f-b1d7-c564f4f0d3fe	Миллер:		
55576312-5649-4784-8f18-cceb47e3fa8c	Миллер 1900:		
eb9bd989-b720-42f0-9870-8541a3063f5d	9-11 джуури, Миллер 1907:		
86ef9dda-c2f4-41de-9942-544e0fdd45fd	11-13 татский), но и к «неустойчивости» гласных в синхронии.		
c6e08517-5ac5-4e11-8015-463ee300df51	В джуури во многих корнях практически в любой позиции гласные i и y взаимозаменяемы: pyryş ~ piriş ‘свет’, gyrdə ~ girdə ‘держать’, şəkyl ~ şəkil ‘рисунок’.		
68734562-067c-4e26-a5ba-17cc721c48ee	В татском, в отличие от джуури, это варьирование подразумевает редукцию, возможно только в безударных слогах и включает в себя также фонему u (Грюнберг, Давыдова 1982:		
992996e5-3df0-4362-87fd-a8b932a8cf5c	236, умуруз ~ iмуруз ‘сегодня’ Миллер 1907:		
8ddc1651-2a2d-4b52-8528-c53c29cc2781	12).		
93cae0c8-5838-4809-8bdd-3f28297f0233	Из аффиксов обязательно уподобляются последнему слогу основы глагольные окончания 1Sg и 3Pl:		
